,platform,channel_id,channel_name,followers_gain,last_streamed_game,stream_language,partnership_status,peak_viewers,average_viewers,live_views,hours_watched,airtime_in_m
0,twitch,36029255,riotgames,63633,League of Legends,EN,partner,451088,140144,18089295.0,10347268,4430
1,twitch,156037856,fextralife,48484,Overwatch 2,EN,partner,92467,46435,7947278.0,4709216,6085
2,twitch,87056709,pgl_dota2,34726,Dota 2,EN,partner,155951,65254,14999932.0,3839088,3530
3,twitch,71092938,xqc,36001,Overwatch 2,EN,partner,113230,79877,6783454.0,2602644,1955
4,twitch,22346597,lvpes,8642,League of Legends,ES,partner,118126,29132,4242831.0,2070739,4265
5,twitch,641972806,kaicenat,76094,Just Chatting,EN,partner,140958,65733,7996715.0,1933624,1765
6,twitch,90075649,illojuan,25395,Pokémon Community Game,ES,partner,85495,61079,5319594.0,1883237,1850
7,twitch,459331509,auronplay,34144,Minecraft,ES,partner,108916,77528,7104164.0,1776672,1375
8,twitch,194701696,pgl_dota2en2,24367,Dota 2,EN,partner,96051,36319,5301720.0,1652477,2730
9,twitch,59299632,adinross,58049,Just Chatting,EN,partner,129020,67604,5646817.0,1599945,1420
10,twitch,142055874,lla,8603,League of Legends,ES,partner,79715,42504,1812941.0,1561994,2205
11,twitch,207813352,hasanabi,11240,Just Chatting,EN,partner,76110,30825,4499230.0,1433332,2790
12,twitch,71190292,trainwreckstv,7825,Slots,EN,partner,37084,21179,3299064.0,1420681,4025
13,twitch,26490481,summit1g,7470,Overwatch 2,EN,partner,33125,17389,3624087.0,1367867,4720
14,twitch,37402112,shroud,18299,Overwatch 2,EN,partner,62402,23111,4186669.0,1153557,2995
15,twitch,83232866,ibai,20070,League of Legends,ES,partner,94284,35779,3922072.0,1031602,1730
16,twitch,31239503,esl_csgo,10042,Counter-Strike: Global Offensive,EN,partner,76475,6283,4268108.0,1019211,9735
17,twitch,19070311,a_seagull,27954,Overwatch 2,EN,partner,48530,17985,2078670.0,1007095,3360
18,twitch,31919607,elxokas,8316,Pokémon Community Game,ES,partner,33892,20611,3385636.0,966975,2815
19,twitch,52091823,castro_1021,11327,FIFA 23,EN,partner,42219,23267,3019560.0,944230,2435
